variable,value,label
ppage,-2,not asked
ppage,-1,refused
ppagecat,1,18-24
ppagecat,2,25-34
ppagecat,3,35-44
ppagecat,4,45-54
ppagecat,5,55-64
ppagecat,6,65-74
ppagecat,7,75+
ppagecat,99,under 18
ppagect4,1,18-29
ppagect4,2,30-44
ppagect4,3,45-59
ppagect4,4,60+
ppagect4,99,under 18
ppeduc,-2,not asked
ppeduc,-1,refused
ppeduc,1,no formal education
ppeduc,2,"1st, 2nd, 3rd, or 4th grade"
ppeduc,3,5th or 6th grade
ppeduc,4,7th or 8th grade
ppeduc,5,9th grade
ppeduc,6,10th grade
ppeduc,7,11th grade
ppeduc,8,12th grade no diploma
ppeduc,9,high school graduate - high school diploma or the equivalent (ged)
ppeduc,10,"some college, no degree"
ppeduc,11,associate degree
ppeduc,12,bachelors degree
ppeduc,13,masters degree
ppeduc,14,professional or doctorate degree
ppeducat,-2,not asked
ppeducat,-1,refused
ppeducat,1,less than high school
ppeducat,2,high school
ppeducat,3,some college
ppeducat,4,bachelor's degree or higher
ppethm,-2,not asked
ppethm,-1,refused
ppethm,1,"white, non-hispanic"
ppethm,2,"black, non-hispanic"
ppethm,3,"other, non-hispanic"
ppethm,4,hispanic
ppethm,5,"2+ races, non-hispanic"
ppgender,-2,not asked
ppgender,-1,refused
ppgender,1,male
ppgender,2,female
pphhhead,-2,not asked
pphhhead,-1,refused
pphhhead,0,no
pphhhead,1,yes
pphouse,-2,not asked
pphouse,-1,refused
pphouse,1,a one-family house detached from any other house
pphouse,2,a one-family house attached to one or more houses
pphouse,3,a building with 2 or more apartments
pphouse,4,a mobile home
pphouse,5,"boat, rv, van, etc."
ppincimp,-2,not asked
ppincimp,-1,refused
ppincimp,1,"less than $5,000"
ppincimp,2,"$5,000 to $7,499"
ppincimp,3,"$7,500 to $9,999"
ppincimp,4,"$10,000 to $12,499"
ppincimp,5,"$12,500 to $14,999"
ppincimp,6,"$15,000 to $19,999"
ppincimp,7,"$20,000 to $24,999"
ppincimp,8,"$25,000 to $29,999"
ppincimp,9,"$30,000 to $34,999"
ppincimp,10,"$35,000 to $39,999"
ppincimp,11,"$40,000 to $49,999"
ppincimp,12,"$50,000 to $59,999"
ppincimp,13,"$60,000 to $74,999"
ppincimp,14,"$75,000 to $84,999"
ppincimp,15,"$85,000 to $99,999"
ppincimp,16,"$100,000 to $124,999"
ppincimp,17,"$125,000 to $149,999"
ppincimp,18,"$150,000 to $174,999"
ppincimp,19,"$175,000 or more"
ppmarit,-2,not asked
ppmarit,-1,refused
ppmarit,1,married
ppmarit,2,widowed
ppmarit,3,divorced
ppmarit,4,separated
ppmarit,5,never married
ppmarit,6,living with partner
ppmsacat,-2,not asked
ppmsacat,-1,refused
ppmsacat,0,non-metro
ppmsacat,1,metro
ppreg4,-2,not asked
ppreg4,-1,refused
ppreg4,1,northeast
ppreg4,2,midwest
ppreg4,3,south
ppreg4,4,west
ppreg9,1,new england
ppreg9,2,mid-atlantic
ppreg9,3,east-north central
ppreg9,4,west-north central
ppreg9,5,south atlantic
ppreg9,6,east-south central
ppreg9,7,west-south central
ppreg9,8,mountain
ppreg9,9,pacific
pprent,-2,not asked
pprent,-1,refused
pprent,1,owned or being bought by you or someone in your household
pprent,2,rented for cash
pprent,3,occupied without payment of cash rent
ppt01,-2,not asked
ppt01,-1,refused
ppt1317,-2,not asked
ppt1317,-1,refused
ppt18ov,-2,not asked
ppt18ov,-1,refused
ppt25,-2,not asked
ppt25,-1,refused
ppt612,-2,not asked
ppt612,-1,refused
ppwork,-2,not asked
ppwork,-1,refused
ppwork,1,working - as a paid employee
ppwork,2,working - self-employed
ppwork,3,not working - on temporary layoff from a job
ppwork,4,not working - looking for work
ppwork,5,not working - retired
ppwork,6,not working - disabled
ppwork,7,not working - other
ppnet,0,no
ppnet,1,yes
ppq14arace,-2,not asked
ppq14arace,-1,refused
ppq14arace,1,white
ppq14arace,2,"black, or  african american"
ppq14arace,3,american indian or alaska native
ppq14arace,4,asian indian
ppq14arace,5,chinese
ppq14arace,6,filipino
ppq14arace,7,japanese
ppq14arace,8,korean
ppq14arace,9,vietnamese
ppq14arace,10,other asian
ppq14arace,11,native hawaiian
ppq14arace,12,guamanian or chamorro
ppq14arace,13,samoan
ppq14arace,14,other pacific islander
ppq14arace,15,some other race
pphispan,-2,not asked
pphispan,-1,refused
pphispan,1,"no, i am not"
pphispan,2,"yes, mexican, mexican-american, chicano"
pphispan,3,"yes, puerto rican"
pphispan,4,"yes, cuban"
pphispan,5,"yes, central american"
pphispan,6,"yes, south american"
pphispan,7,"yes, caribbean"
pphispan,8,"yes, other spanish/hispanic/latino"
pprace_white,-2,not asked
pprace_white,-1,refused
pprace_white,0,no
pprace_white,1,yes
pprace_black,-2,not asked
pprace_black,-1,refused
pprace_black,0,no
pprace_black,1,yes
pprace_nativeamerican,-2,not asked
pprace_nativeamerican,-1,refused
pprace_nativeamerican,0,no
pprace_nativeamerican,1,yes
pprace_asianindian,-2,not asked
pprace_asianindian,-1,refused
pprace_asianindian,0,no
pprace_asianindian,1,yes
pprace_chinese,-2,not asked
pprace_chinese,-1,refused
pprace_chinese,0,no
pprace_chinese,1,yes
pprace_filipino,-2,not asked
pprace_filipino,-1,refused
pprace_filipino,0,no
pprace_filipino,1,yes
pprace_japanese,-2,not asked
pprace_japanese,-1,refused
pprace_japanese,0,no
pprace_japanese,1,yes
pprace_korean,-2,not asked
pprace_korean,-1,refused
pprace_korean,0,no
pprace_korean,1,yes
pprace_vietnamese,-2,not asked
pprace_vietnamese,-1,refused
pprace_vietnamese,0,no
pprace_vietnamese,1,yes
pprace_otherasian,-2,not asked
pprace_otherasian,-1,refused
pprace_otherasian,0,no
pprace_otherasian,1,yes
pprace_hawaiian,-2,not asked
pprace_hawaiian,-1,refused
pprace_hawaiian,0,no
pprace_hawaiian,1,yes
pprace_guamanian,-2,not asked
pprace_guamanian,-1,refused
pprace_guamanian,0,no
pprace_guamanian,1,yes
pprace_samoan,-2,not asked
pprace_samoan,-1,refused
pprace_samoan,0,no
pprace_samoan,1,yes
pprace_otherpacificislander,-2,not asked
pprace_otherpacificislander,-1,refused
pprace_otherpacificislander,0,no
pprace_otherpacificislander,1,yes
pprace_someotherrace,-2,not asked
pprace_someotherrace,-1,refused
pprace_someotherrace,0,no
pprace_someotherrace,1,yes
papglb_friend,-2,not asked
papglb_friend,-1,refused
papglb_friend,1,"yes, friends"
papglb_friend,2,"yes, relatives"
papglb_friend,3,"yes, both"
papglb_friend,4,no
papglb_friend,5,i would prefer to not answer this question
pppartyid3,-2,not asked
pppartyid3,-1,refused
pppartyid3,1,republican
pppartyid3,2,other
pppartyid3,3,democrat
papevangelical,-2,not asked
papevangelical,-1,refused
papevangelical,1,yes
papevangelical,2,no
papreligion,-2,not asked
papreligion,-1,refused
papreligion,1,baptist-any denomination
papreligion,2,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)"
papreligion,3,catholic
papreligion,4,mormon
papreligion,5,jewish
papreligion,6,muslim
papreligion,7,hindu
papreligion,8,buddhist
papreligion,9,pentecostal
papreligion,10,eastern orthodox
papreligion,11,other christian
papreligion,12,"other non-christian, please specify:"
papreligion,13,none
pphhcomp11_member2_gender,-1,please select
pphhcomp11_member2_gender,2,male
pphhcomp11_member2_gender,3,female
pphhcomp11_member3_gender,-1,please select
pphhcomp11_member3_gender,2,male
pphhcomp11_member3_gender,3,female
pphhcomp11_member4_gender,-1,please select
pphhcomp11_member4_gender,2,male
pphhcomp11_member4_gender,3,female
pphhcomp11_member5_gender,-1,please select
pphhcomp11_member5_gender,2,male
pphhcomp11_member5_gender,3,female
pphhcomp11_member6_gender,-1,please select
pphhcomp11_member6_gender,2,male
pphhcomp11_member6_gender,3,female
pphhcomp11_member7_gender,-1,please select
pphhcomp11_member7_gender,2,male
pphhcomp11_member7_gender,3,female
pphhcomp11_member8_gender,-1,please select
pphhcomp11_member8_gender,2,male
pphhcomp11_member8_gender,3,female
pphhcomp11_member9_gender,-1,please select
pphhcomp11_member9_gender,2,male
pphhcomp11_member9_gender,3,female
pphhcomp11_member10_gender,-1,please select
pphhcomp11_member10_gender,2,male
pphhcomp11_member10_gender,3,female
pphhcomp11_member11_gender,-1,please select
pphhcomp11_member11_gender,2,male
pphhcomp11_member11_gender,3,female
pphhcomp11_member12_gender,-1,please select
pphhcomp11_member12_gender,2,male
pphhcomp11_member12_gender,3,female
pphhcomp11_member13_gender,-1,please select
pphhcomp11_member13_gender,2,male
pphhcomp11_member13_gender,3,female
pphhcomp11_member14_gender,-1,please select
pphhcomp11_member14_gender,2,male
pphhcomp11_member14_gender,3,female
pphhcomp11_member15_gender,-1,please select
pphhcomp11_member15_gender,2,male
pphhcomp11_member15_gender,3,female
pphhcomp11_member2_relationship,-1,please select
pphhcomp11_member2_relationship,2,spouse
pphhcomp11_member2_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member2_relationship,4,grandchild
pphhcomp11_member2_relationship,5,parent
pphhcomp11_member2_relationship,6,sibling
pphhcomp11_member2_relationship,7,other relative
pphhcomp11_member2_relationship,8,unmarried partner
pphhcomp11_member2_relationship,9,housemate/roommate
pphhcomp11_member2_relationship,10,other non-relative
pphhcomp11_member3_relationship,-1,please select
pphhcomp11_member3_relationship,2,spouse
pphhcomp11_member3_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member3_relationship,4,grandchild
pphhcomp11_member3_relationship,5,parent
pphhcomp11_member3_relationship,6,sibling
pphhcomp11_member3_relationship,7,other relative
pphhcomp11_member3_relationship,8,unmarried partner
pphhcomp11_member3_relationship,9,housemate/roommate
pphhcomp11_member3_relationship,10,other non-relative
pphhcomp11_member4_relationship,-1,please select
pphhcomp11_member4_relationship,2,spouse
pphhcomp11_member4_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member4_relationship,4,grandchild
pphhcomp11_member4_relationship,5,parent
pphhcomp11_member4_relationship,6,sibling
pphhcomp11_member4_relationship,7,other relative
pphhcomp11_member4_relationship,8,unmarried partner
pphhcomp11_member4_relationship,9,housemate/roommate
pphhcomp11_member4_relationship,10,other non-relative
pphhcomp11_member5_relationship,-1,please select
pphhcomp11_member5_relationship,2,spouse
pphhcomp11_member5_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member5_relationship,4,grandchild
pphhcomp11_member5_relationship,5,parent
pphhcomp11_member5_relationship,6,sibling
pphhcomp11_member5_relationship,7,other relative
pphhcomp11_member5_relationship,8,unmarried partner
pphhcomp11_member5_relationship,9,housemate/roommate
pphhcomp11_member5_relationship,10,other non-relative
pphhcomp11_member6_relationship,-1,please select
pphhcomp11_member6_relationship,2,spouse
pphhcomp11_member6_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member6_relationship,4,grandchild
pphhcomp11_member6_relationship,5,parent
pphhcomp11_member6_relationship,6,sibling
pphhcomp11_member6_relationship,7,other relative
pphhcomp11_member6_relationship,8,unmarried partner
pphhcomp11_member6_relationship,9,housemate/roommate
pphhcomp11_member6_relationship,10,other non-relative
pphhcomp11_member7_relationship,-1,please select
pphhcomp11_member7_relationship,2,spouse
pphhcomp11_member7_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member7_relationship,4,grandchild
pphhcomp11_member7_relationship,5,parent
pphhcomp11_member7_relationship,6,sibling
pphhcomp11_member7_relationship,7,other relative
pphhcomp11_member7_relationship,8,unmarried partner
pphhcomp11_member7_relationship,9,housemate/roommate
pphhcomp11_member7_relationship,10,other non-relative
pphhcomp11_member8_relationship,-1,please select
pphhcomp11_member8_relationship,2,spouse
pphhcomp11_member8_relationship,3,"child (biological, adopted, or stepchild)"
pphhcomp11_member8_relationship,4,grandchild
pphhcomp11_member8_relationship,5,parent
pphhcomp11_member8_relationship,6,sibling
pphhcomp11_member8_relationship,7,other relative
pphhcomp11_member8_relationship,8,unmarried partner
pphhcomp11_member8_relationship,9,housemate/roommate
pphhcomp11_member8_relationship,10,other non-relative
pphhcomp11_member9_relationship,-1,please select
pphhcomp11_member9_relationship,2,spouse
