variable_name,variable_label
caseid_new,unique case ID
weight1,Main Weight for all respondents
weight2,Main Weight for Partnered Respondents
ppage,respondent age at time of HCMST wave I survey
ppagecat,age - 7 categories
ppagect4,age - 4 categories
ppeduc,education (highest degree received)
ppeducat,education (categorical)
ppethm,race / ethnicity
ppgender,gender
pphhhead,household head
pphouseholdsize,"including yourself, how many people currently live in your household at least 50"
pphouse,housing type
ppincimp,household income
hhinc,dollar value hhinc based on categorical var ppincimp
ppmarit,marital status
ppmsacat,msa status
ppreg4,region 4 - based on state of residence
ppreg9,region 9 - based on state of residence
pprent,ownership status of living quarters
ppt01,number of children age <2 in HH
ppt1317,number of children age 13-17 in HH
ppt18ov,number of adults age 18+ in HH
ppt25,number of children age 2-5 in HH
ppt612,number of children age 6-12 in HH
children_in_hh,number of children in hh based on  ppt01+ ppt25+ ppt612+ ppt1317
ppwork,current employment status
ppnet,hh has its own Internet access at the time of core adult profile
ppq14arace,which of these races do you identify with most closely?
pphispan,"are you of spanish, hispanic, or latino descent?"
pprace_white,white
pprace_black,black
pprace_nativeamerican,native american
pprace_asianindian,asian indian
pprace_chinese,chinese
pprace_filipino,filipino
pprace_japanese,japanese
pprace_korean,korean
pprace_vietnamese,vietnamese
pprace_otherasian,other asian
pprace_hawaiian,hawaiian
pprace_guamanian,guamanian
pprace_samoan,samoan
pprace_otherpacificislander,other pacific islander
pprace_someotherrace,some other race
papglb_friend,"q22:do you have any friends or relatives who you know to be gay, lesbian, or bis"
pppartyid3,derived: political party affiliation (3 categories)
papevangelical,q26a:would you describe yourself as a born-again or evangelical christian?
papreligion,q26:what is your religion?
ppppcmdate_yrmo,date member completed first core profile survey in YYYYMM format
pppadate_yrmo,date member completed public affairs survey in YYYYMM format
pphhcomp11_member2_age,member 2 : age
pphhcomp11_member3_age,member 3 : age
pphhcomp11_member4_age,member 4 : age
pphhcomp11_member5_age,member 5 : age
pphhcomp11_member6_age,member 6 : age
pphhcomp11_member7_age,member 7 : age
pphhcomp11_member8_age,member 8 : age
pphhcomp11_member9_age,member 9 : age
pphhcomp11_member10_age,member 10 : age
pphhcomp11_member11_age,member 11 : age
pphhcomp11_member12_age,member 12 : age
pphhcomp11_member13_age,member 13 : age
pphhcomp11_member14_age,member 14 : age
pphhcomp11_member15_age,member 15 : age
pphhcomp11_member2_gender,member 2 : gender
pphhcomp11_member3_gender,member 3 : gender
pphhcomp11_member4_gender,member 4 : gender
pphhcomp11_member5_gender,member 5 : gender
pphhcomp11_member6_gender,member 6 : gender
pphhcomp11_member7_gender,member 7 : gender
pphhcomp11_member8_gender,member 8 : gender
pphhcomp11_member9_gender,member 9 : gender
pphhcomp11_member10_gender,member 10 : gender
pphhcomp11_member11_gender,member 11 : gender
pphhcomp11_member12_gender,member 12 : gender
pphhcomp11_member13_gender,member 13 : gender
pphhcomp11_member14_gender,member 14 : gender
pphhcomp11_member15_gender,member 15 : gender
pphhcomp11_member2_relationship,member 2 : relationship to you
pphhcomp11_member3_relationship,member 3 : relationship to you
pphhcomp11_member4_relationship,member 4 : relationship to you
pphhcomp11_member5_relationship,member 5 : relationship to you
pphhcomp11_member6_relationship,member 6 : relationship to you
pphhcomp11_member7_relationship,member 7 : relationship to you
pphhcomp11_member8_relationship,member 8 : relationship to you
pphhcomp11_member9_relationship,member 9 : relationship to you
pphhcomp11_member10_relationship,member 10 : relationship to you
pphhcomp11_member11_relationship,member 11 : relationship to you
pphhcomp11_member12_relationship,member 12 : relationship to you
pphhcomp11_member13_relationship,member 13 : relationship to you
pphhcomp11_member14_relationship,member 14 : relationship to you
pphhcomp11_member15_relationship,member 15 : relationship to you
irb_consent,irb consent
weight3,Supplementary weight for all qualified glb and non-glb separately
weight4,Supplementary weight for genpop and augment samples weighted separately
weight5,Supplementary weight for all qualified respondents scaled from weight4
weight6,Supplementary weight for total glb genpop and augment respondents
weight7,Supplementary weight for total qualified glb genpop and augment respondents
weight_couples_coresident,Supplementary weight ACS-based couples race weight for coresident couples
HCMST_main_interview_yrmo,year and month HCMST main survey was completed in YYYYMM format
duration,"interview duration in minutes, rounded down"
qflag,Does respondent have a spouse or partner?
glbstatus,glb status including asking again those who refused to answer in the PAP
papglb_status,"q23: are you yourself gay, lesbian, or bisexual?"
recsource,recruitment source
s1,are you married?
s1a,"are you yourself gay, lesbian, or bisexual?"
s2,"do you have a boyfriend, a girlfriend, a sexual partner or a romantic partner?"
q3_codes,name of partner was refused
q4,is [partner_name] male or female?
q5,is [partner_name] the same gender as you?
q6a,is [partner_name] latino or hispanic?
q6b,what is [partner_name]'s race?
q7a,would [partner_name] describe [himself/herself/themself] as a born-again or evan
q7b,what is [partner_name]'s religion?
q8a,is [partner_name]s religion today the same as [partner_name]s religion when [h
